ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
6538,9,E09000004,1,65.51,196.32,25.84,216.2
6864,9,E09000004,2,77.51,240.08,25.84,262.64
7190,9,E09000004,3,83.97,310.37,25.84,338.25
7516,9,E09000004,4,101.48,421.8,25.84,460.26
7842,10,E09000004,0,70.47,3164.04,18.64,3451.52
19,1,E08000025,1,52.6,98.69,25.84,124.15
345,1,E08000025,2,58.13,116.72,25.84,136.89
671,1,E08000025,3,69.2,132.64,25.84,160.24
997,1,E08000025,4,80.28,161.3,25.84,178.28
2627,2,E08000025,0,39.38,245.49,18.64,382.53
1323,3,E08000025,1,46.13,88.07,25.84,97.63
1649,3,E08000025,2,49.84,94.47,25.84,102.94
1975,3,E08000025,3,59.98,104,25.84,119.9
2301,3,E08000025,4,68.28,127.34,25.84,127.34
2953,4,E08000025,0,46.63,107.26,18.64,107.26
4281,5,E08000025,1,52.6,114.6,25.84,124.15
4891,5,E08000025,2,58.13,140.08,25.84,151.75
5522,5,E08000025,3,69.2,147.5,25.84,160.24
6174,5,E08000025,4,80.28,226.01,25.84,245.12
3279,6,E08000025,0,39.38,251.45,18.64,275.3
4502,7,E08000025,1,46.13,114.6,25.84,124.15
5187,7,E08000025,2,49.84,140.08,25.84,151.75
5778,7,E08000025,3,59.98,147.5,25.84,160.24
6439,7,E08000025,4,68.28,226.01,25.84,245.12
3605,8,E08000025,0,46.63,251.45,18.64,275.3
6539,9,E08000025,1,52.6,143.25,25.84,155.2
6865,9,E08000025,2,58.13,175.09,25.84,189.68
7191,9,E08000025,3,69.2,184.37,25.84,200.32
7517,9,E08000025,4,80.28,282.54,25.84,306.4
7843,10,E08000025,0,39.38,466.26,18.64,507.97
20,1,E07000129,1,51.68,99.75,25.84,122.03
346,1,E07000129,2,61.83,114.6,25.84,129.46
672,1,E07000129,3,68.28,126.28,25.84,137.95
998,1,E07000129,4,75.67,158.1,25.84,166.61
2628,2,E07000129,0,51.82,240.72,18.64,361.1
1324,3,E07000129,1,46.13,90.21,25.84,107.19
1650,3,E07000129,2,52.6,96.56,25.84,108.24
1976,3,E07000129,3,58.13,104,25.84,118.85
2302,3,E07000129,4,63.67,122.03,25.84,122.03
2954,4,E07000129,0,49.74,114.39,18.64,123.94
4314,5,E07000129,1,51.68,109.29,25.84,118.85
5010,5,E07000129,2,61.83,125.22,25.84,136.89
5653,5,E07000129,3,68.28,149.62,25.84,162.37
6228,5,E07000129,4,75.67,202.69,25.84,220.72
3280,6,E07000129,0,51.82,227.63,18.64,247.88
4414,7,E07000129,1,46.13,109.29,25.84,118.85
5150,7,E07000129,2,52.6,125.22,25.84,136.89
5811,7,E07000129,3,58.13,149.62,25.84,162.37
6472,7,E07000129,4,63.67,202.69,25.84,220.72
